product_type,year,month,export_value
Live animals,2018,January,46.567
Live animals,2018,February,48.184
Live animals,2018,March,54.481
Live animals,2018,April,57.194
Live animals,2018,May,57.875
Live animals,2018,June,45.701
Live animals,2018,July,55.266
Live animals,2018,August,59.258
Live animals,2018,September,71.943
Live animals,2018,October,180.938
Live animals,2018,November,92.495
Live animals,2018,December,89.303
Red meats & products,2018,January,1209.473
Red meats & products,2018,February,1189.289
Red meats & products,2018,March,1343.608
Red meats & products,2018,April,1304.755
Red meats & products,2018,May,1326.274
Red meats & products,2018,June,1273.802
Red meats & products,2018,July,1234.735
Red meats & products,2018,August,1287.643
Red meats & products,2018,September,1198.194
Red meats & products,2018,October,1306.472
Red meats & products,2018,November,1296.647
Red meats & products,2018,December,1275.043
Poultry meats & products,2018,January,391.742
Poultry meats & products,2018,February,391.017
Poultry meats & products,2018,March,440.04
Poultry meats & products,2018,April,445.212
Poultry meats & products,2018,May,413.097
Poultry meats & products,2018,June,400.082
Poultry meats & products,2018,July,409.225
Poultry meats & products,2018,August,427.799
Poultry meats & products,2018,September,389.569
Poultry meats & products,2018,October,442.683
Poultry meats & products,2018,November,409.283
Poultry meats & products,2018,December,360.72
Dairy products,2018,January,416.425
Dairy products,2018,February,454.037
Dairy products,2018,March,517.209
Dairy products,2018,April,524.541
Dairy products,2018,May,512.028
Dairy products,2018,June,480.277
Dairy products,2018,July,434.674
Dairy products,2018,August,479.412
Dairy products,2018,September,437.232
Dairy products,2018,October,459.869
Dairy products,2018,November,441.282
Dairy products,2018,December,426.779
Hides & skins,2018,January,137.301
Hides & skins,2018,February,153.994
Hides & skins,2018,March,154.944
Hides & skins,2018,April,137.487
Hides & skins,2018,May,146.421
Hides & skins,2018,June,133.332
Hides & skins,2018,July,101.725
Hides & skins,2018,August,102.305
Hides & skins,2018,September,98.648
Hides & skins,2018,October,96.252
Hides & skins,2018,November,106.699
Hides & skins,2018,December,89.21
Grains & feeds,2018,January,2225.708
Grains & feeds,2018,February,2190.257
Grains & feeds,2018,March,3063.228
Grains & feeds,2018,April,3166.197
Grains & feeds,2018,May,3134.694
Grains & feeds,2018,June,2923.417
Grains & feeds,2018,July,2889.773
Grains & feeds,2018,August,2892.775
Grains & feeds,2018,September,2581.519
Grains & feeds,2018,October,2701.764
Grains & feeds,2018,November,2634.12
Grains & feeds,2018,December,2549.02
Wheat,2018,January,424
Wheat,2018,February,325.878
Wheat,2018,March,491.711
Wheat,2018,April,475.705
Wheat,2018,May,441.981
Wheat,2018,June,384.419
Wheat,2018,July,436
Wheat,2018,August,501.29
Wheat,2018,September,456.124
Wheat,2018,October,472.869
Wheat,2018,November,410.728
Wheat,2018,December,547.911
Rice,2018,January,135.264
Rice,2018,February,161.949
Rice,2018,March,193.752
Rice,2018,April,125.91
Rice,2018,May,160.167
Rice,2018,June,105.394
Rice,2018,July,120.573
Rice,2018,August,132.764
